k,Cannabis Consumption BIC
2,3186.0771452442314
3,2811.1565808802416
4,287.87129707634244
5,-203.24321164259112
6,-110.12622992212937
7,-15.102131910026515
8,-455.18929086068783
9,307.1723402201843
10,755.8727218769503
15,1095.2544596288521
20,335.56057066314384
25,904.4593710133586
30,387.22905183362946
35,687.4364809596855
40,2427.958678363982
