k,Cannabis Consumption log-likelihood
2,-1.6186760007820415
3,-1.3600979927205394
4,0.06227455458251669
5,0.38379619447226554
6,0.3888327366158631
7,0.3928361713425369
8,0.686715693264641
9,0.3292145055271927
10,0.14162732072804693
15,0.23517577946900686
20,0.9241064845358661
25,0.8933228400274691
30,1.4509081660119993
35,1.5656778103574263
40,0.9002119355922136
