k,Pen Digit sse (left)
2,7590.496408891033
3,3986.823622942143
4,2792.105464927702
5,2238.8356889051915
6,1741.2580925984666
7,1349.2256260437666
8,1200.790776200436
9,1052.9026580551163
10,912.4882122237323
15,613.1650636752632
20,460.6146490610538
25,386.34354394005555
30,327.95620606531907
35,291.5657931266695
40,258.32815147037854
