k,Cannabis Consumption sse (left)
2,2410.861756500943
3,2011.8378199883646
4,1763.7636559463585
5,1552.1210286726896
6,1412.6864082877833
7,1283.8205165478184
8,1206.230565305237
9,1128.370230382835
10,1059.436221539584
15,847.8911537681912
20,712.536516339343
25,628.0194538278909
30,562.8202226919731
35,508.48710526631726
40,463.05053260260263
