k,Pen Digit log-likelihood
2,-3.080009193611773
3,-2.6805888708551486
4,0.03471067973160337
5,0.21837355642669684
6,0.605848292620679
7,0.675151768116593
8,2.045015924833191
9,2.0890067983218894
10,1.867844776569638
15,3.2801370224295123
20,3.7078952278802824
25,3.7561853434069628
30,3.814077410913118
35,3.9532964684921774
40,4.028491154562431
