k,Pen Digit BIC
2,33334.935094401015
3,29119.091944208074
4,-38.77048971533924
5,-1930.905945825591
6,-6018.095128738873
7,-6678.5798339339635
8,-21346.10307587582
9,-21733.971057453196
10,-19266.142357285542
15,-34046.96121571687
20,-38224.348458942135
25,-38314.86437368496
30,-38508.79331124672
35,-39578.61393189367
40,-39958.89207139078
