,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,20.462134742736815,0.08371796607971191,0.39554769635126774,0.4184505649717514,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'rp__n_components': 2, 'NN__hidden_layer_sizes': (50, 50)}",368,0.33625,0.39435911016949154,0.41958333333333336,0.40143008474576275,0.30291666666666667,0.4091101694915254,0.49666666666666676,0.4646451271186442,0.4232142857142857,0.4227083333333333,5.889585444839203,0.032992105542135275,0.0689836777767095,0.02493753834163932
1,22.7749276638031,0.058970069885253905,0.5069793599257885,0.5222740112994351,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'rp__n_components': 3, 'NN__hidden_layer_sizes': (50, 50)}",352,0.5429166666666667,0.5649364406779662,0.42083333333333334,0.39375,0.5462499999999999,0.6137976694915254,0.49875000000000014,0.533156779661017,0.5267857142857143,0.5057291666666667,6.693736966090617,0.03010937768869807,0.04641479326033068,0.07363049762289041
2,36.27773714065552,0.09774360656738282,0.7099323593073592,0.7271398305084746,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'rp__n_components': 4, 'NN__hidden_layer_sizes': (50, 50)}",290,0.6720833333333333,0.7469809322033899,0.7366666666666667,0.7128442796610169,0.7154166666666666,0.7692531779661016,0.7554166666666667,0.7534957627118645,0.66875,0.653125,7.965416757162182,0.05271324980147298,0.03442580270536069,0.04133859315964913
3,32.17588610649109,0.1006922721862793,0.6743386672850958,0.7085985169491524,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'rp__n_components': 5, 'NN__hidden_layer_sizes': (50, 50)}",304,0.6462499999999999,0.6788665254237289,0.7183333333333335,0.7128442796610169,0.6129166666666667,0.6918961864406779,0.7295833333333335,0.7459480932203391,0.6642857142857143,0.7134375,3.873900703110778,0.017653625436782377,0.04406718378783189,0.02280084327427918
4,22.838843965530394,0.09234156608581542,0.7664289579468152,0.7816281779661016,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'rp__n_components': 6, 'NN__hidden_layer_sizes': (50, 50)}",233,0.71375,0.7546345338983051,0.8325000000000001,0.8141949152542372,0.7541666666666667,0.8020656779661016,0.7475000000000002,0.7753707627118646,0.7848214285714286,0.761875,4.316335356836871,0.023105676084450896,0.04007066380503227,0.02296207259516337
5,30.243503046035766,0.06450042724609376,0.8026418521954236,0.8253421610169493,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'rp__n_components': 7, 'NN__hidden_layer_sizes': (50, 50)}",202,0.7608333333333333,0.8785752118644069,0.7941666666666668,0.7976430084745763,0.7741666666666666,0.8184851694915254,0.8312500000000002,0.8048199152542374,0.8544642857142856,0.8271875000000001,4.831826660258869,0.0426735618790995,0.03489197445513942,0.028539750993941442
6,26.301288604736328,0.07563023567199707,0.7372139764996908,0.7670529661016949,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'rp__n_components': 8, 'NN__hidden_layer_sizes': (50, 50)}",260,0.7675,0.8433792372881356,0.7483333333333334,0.7371822033898305,0.7162499999999999,0.7852754237288135,0.7095833333333335,0.696927966101695,0.744642857142857,0.7725,7.037575199982305,0.02177480599702925,0.021504181735621936,0.04898409109797994
7,31.141152477264406,0.08207597732543945,0.8047781385281385,0.8428612288135593,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'rp__n_components': 9, 'NN__hidden_layer_sizes': (50, 50)}",191,0.7554166666666666,0.8397510593220341,0.8395833333333332,0.8101694915254236,0.7945833333333332,0.8410487288135593,0.8462500000000001,0.9002118644067798,0.7874999999999999,0.8231249999999999,7.593953558232114,0.0298066659259225,0.034053243553807386,0.03085554124678431
8,25.74834985733032,0.06216096878051758,0.7908263760049474,0.8105014124293787,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'rp__n_components': 10, 'NN__hidden_layer_sizes': (50, 50)}",217,0.7487499999999999,0.816949152542373,0.8854166666666667,0.809666313559322,0.7749999999999999,0.8319385593220338,0.8316666666666668,0.8668697033898307,0.7107142857142855,0.7270833333333334,6.904973391890622,0.027444619774576958,0.06159455823624482,0.04612544234034185
9,34.28273572921753,0.09415225982666016,0.885867733457019,0.914355579096045,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'rp__n_components': 15, 'NN__hidden_layer_sizes': (50, 50)}",59,0.8904166666666667,0.9519332627118644,0.9158333333333334,0.9317266949152541,0.8237499999999999,0.8858580508474574,0.8704166666666667,0.8730932203389832,0.9303571428571425,0.9291666666666666,5.850999567404374,0.019374554926659026,0.03735357143427952,0.029825819862109887
10,28.412396335601805,0.08469409942626953,0.856227195423624,0.8709088983050849,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'rp__n_components': 20, 'NN__hidden_layer_sizes': (50, 50)}",107,0.8129166666666666,0.8333421610169494,0.8116666666666668,0.7971133474576271,0.8708333333333332,0.9372086864406779,0.8975000000000001,0.8815677966101697,0.8892857142857141,0.9053125000000001,7.661799175894012,0.07003725419981008,0.037095085347064134,0.05009975030844077
