,0,1,2,3,4,5,6,7,8,9
2,0.6137494886031367,0.326905278245324,0.40488290686910866,0.5795344016189874,0.5243533994231657,0.4582562083395816,0.4052529324720294,0.34349213729545625,0.6419068444831831,0.4236392899221597
3,0.7146557726873728,0.4096229683608139,0.6041647240547607,0.6632666328837098,0.6401120921149634,0.5915858455530287,0.41496302905760524,0.543043598260628,0.6329674039203806,0.48646435673970406
4,0.7255263845162805,0.442451812041973,0.6860400968125516,0.6698041793235475,0.5789206899747622,0.6443606223384407,0.7301998429441963,0.5563471128059754,0.6761350124125048,0.5751725854197857
5,0.7438073345088632,0.6317684360843862,0.6055015747909558,0.6652720263107812,0.6573611757385059,0.690095670431652,0.7157466322700077,0.5962874048751968,0.737604850352894,0.7134076764016153
6,0.7441867653630109,0.6158230585039036,0.6953859779959094,0.7156519090924616,0.7515967640833449,0.7799008523488952,0.7739584566597585,0.5297970484697391,0.7207742956131437,0.7293426774307706
7,0.7364189822049099,0.5278880853225696,0.7467540717694956,0.7430118808184439,0.77545019382513,0.8161300469541348,0.7304373743100104,0.657720427325133,0.8175530915356641,0.6706672307106768
8,0.7787880061036199,0.6938112694045041,0.7365841546125258,0.7632867846992011,0.8116784156010286,0.7502428412298684,0.7827132449495353,0.6731418630345941,0.7203306100630363,0.7483768925114898
9,0.7943644124344308,0.7347306505975351,0.8151868579416183,0.7523749965334501,0.82120599537281,0.7452252136308904,0.7892723301866789,0.6971163880947518,0.7648886677141364,0.7877553428695602
10,0.8380341791449185,0.6820615669317058,0.771219165083991,0.8425325365679049,0.819187628097284,0.7931658260498279,0.7980322897381944,0.714406433297737,0.8619667011699005,0.8232823320212473
15,0.862443624382475,0.8226798601723365,0.8966330062650377,0.88585090640363,0.8741591067259333,0.829035258211307,0.8456025844758551,0.7673722580153267,0.8343680101117036,0.831435453097079
20,0.9091732230595548,0.8810506209241095,0.8829932879104979,0.8879493675824073,0.8852145613129826,0.8866191752256158,0.8803482709904367,0.8605908881337457,0.8846799548074911,0.8596373791312982
25,0.882332412646665,0.8600293548228556,0.8894269682930623,0.8963786376251821,0.9100194003232743,0.9070312619600206,0.9120564094882019,0.8553213090509388,0.9204490045131729,0.919816055632826
30,0.9246556880861274,0.9071538296280874,0.9321599265524348,0.8986920854401279,0.9227926112709147,0.9303482017646664,0.9271266179031796,0.8912835958039139,0.9315382957640536,0.8944709608136652
35,0.9142083800401414,0.8522337151860099,0.9264019748107704,0.9183962481814482,0.921012624450966,0.9390865333942227,0.9313120438026247,0.9147489027661025,0.9352791487842633,0.931800768241191
40,0.9340662178490683,0.9117456467831613,0.9310428019230803,0.9322103784272376,0.9434872701592069,0.9383544527193055,0.9239139392432268,0.9451721098042596,0.9068816444594993,0.9311691670242351
45,0.9579983085306913,0.9132494874554138,0.9411052452007453,0.943659165927712,0.9449831616598692,0.9213804379546601,0.9520037765888771,0.9502704785805537,0.9218228102966718,0.9212257035683417
50,0.9407138191947433,0.9326197853010644,0.9401412587169544,0.9580306343244861,0.9589069589080155,0.9503063861625111,0.9262668016010763,0.9326277357924976,0.9278289582665981,0.9419624289749701
55,0.9486858240807909,0.9279171458305155,0.9509838674294074,0.9495727936361721,0.9583337969841774,0.9446357642461889,0.9564642514263044,0.9392850672316774,0.9535659723553538,0.9276413589902678
60,0.9662452826831973,0.9358441656967666,0.9594838526479422,0.925456480335811,0.9650089278762342,0.9489589296631283,0.9481418688042769,0.959992310169958,0.9376870506044989,0.9510891433521236
