,0,1,2,3,4,5,6,7,8,9
2,0.8347030758554665,0.8636676053373619,0.8655042779929505,0.8066692179776044,0.8193347944100304,0.850069073491326,0.8394766271899573,0.8282356321291896,0.8337343952692191,0.8897804329560591
3,0.6595449390985914,0.759990096150734,0.754632686455079,0.7319978306005965,0.7624982920779427,0.7485346681273417,0.7911346117192106,0.7583353529130843,0.8013301900782008,0.787170533573327
4,0.6501090957539206,0.7008931693230859,0.6175766078657893,0.6663435046378235,0.6832502568472404,0.702290470203521,0.6216132181223026,0.670272875552336,0.6698859252434671,0.7788290532615907
5,0.5622417491961516,0.5505753444781883,0.6192326198984932,0.536515774806406,0.6197065463308548,0.5982552722702636,0.5663705860186168,0.6078907151654297,0.5685733101954836,0.6497726533016593
6,0.44733844875981105,0.5009490118189572,0.4550881763436706,0.4989416248138425,0.5232257831961016,0.478577686097748,0.46556558596808795,0.5156450231798967,0.5446123218937343,0.6181305087078641
7,0.46022241513178336,0.43655454790148573,0.370144148287733,0.44378621128219664,0.38464403590176777,0.3722309092181447,0.4451342501085715,0.4728565156533468,0.3594823674682871,0.5494548441225939
8,0.31010758960854196,0.3737145412234529,0.32156882890716587,0.32695239509027124,0.3290341317555321,0.357364282993703,0.32445087778858517,0.4726189729397988,0.3446772577710835,0.38850603539787454
9,0.2665456349876838,0.2821112400321478,0.23467319825366942,0.23711747089069682,0.28569151196429676,0.25892160169524303,0.2653243446284419,0.425874944419094,0.26427965506152873,0.3645850252389281
10,0.18113711087931758,0.13963247403260512,0.17665691796982402,0.16666666666666663,0.1581763260892018,0.20020127996660847,0.13372462742700583,0.27245346212790217,0.162616018589066,0.29790221872242884
15,8.562003097987224e-30,1.4507661928354616e-30,2.1904029986120905e-30,0.08333333333333307,2.898591322784419e-30,2.4051901953511334e-30,2.7804328043150782e-30,3.3712295839289164e-30,2.3979459157789956e-30,2.9720299546372173e-30
20,1.8657974536691346e-30,1.2623123223688181e-30,5.062819246501146e-30,0.08333333333333305,1.4089904668256496e-30,1.7673362548882318e-30,4.95519289656653e-30,1.868625909175674e-30,1.4976133417709778e-30,7.927862373650197e-30
25,1.2009899810233331e-30,1.2461981943608785e-30,1.2868288776273176e-30,9.911219453227591e-31,2.858617098779349e-30,1.1013642543240811e-30,1.1052130127852333e-30,3.4445229949541365e-30,1.4365333114184094e-30,1.0125552288419655e-30
30,4.617727128677089e-30,1.735532798064297e-30,1.4125611286929238e-30,1.0592474131503821e-30,1.393758349617992e-29,2.5175255496320687e-30,1.83934242339566e-30,9.97433534383124e-31,1.2112959100831336e-30,1.1286077630264197e-30
35,1.8861877008562377e-30,4.587402333308838e-30,8.815079278221503e-30,7.933128209379374e-31,7.4728552266143165e-31,1.0513700568690676e-30,1.2238378378442118e-30,1.6850745505410223e-30,4.1377222944832725e-30,1.2980992569946048e-30
40,7.99365895494558e-31,7.974292941409347e-31,1.4300027225736955e-30,6.88812278372577e-31,9.243008982364236e-31,8.600619951448115e-31,1.2532542386984387e-30,1.3610536426429786e-29,2.1303706131711456e-30,6.890899856897812e-31
45,1.1219085321594521e-30,1.1754761381399983e-30,9.645768451251438e-31,1.033932164443846e-30,1.2891342536498886e-29,7.927223731615448e-31,1.1590217388762717e-30,1.1896705113959108e-30,3.468280212398644e-30,3.949782642199375e-30
50,1.2332530050547879e-30,9.719463899857857e-31,3.96092555898007e-30,1.4058752131795444e-30,4.071311765886179e-30,8.693155925824559e-30,9.299940944934909e-31,1.0921879073070644e-30,2.1642241936001474e-30,2.879688234169021e-30
55,9.403756004549621e-31,1.0293252210740733e-30,2.6096566361995932e-30,8.010938562912377e-31,9.342729134656137e-31,4.830060433018108e-30,3.0252163695391592e-30,4.3971556453671396e-30,4.326626849139423e-30,6.610144547543156e-31
60,1.1049171230152838e-30,1.1560692736054442e-30,5.663928047568614e-30,8.144122929601939e-31,9.115198015963554e-31,6.2082576521110914e-30,8.604323233604019e-31,9.527793413660407e-31,1.1215777507940303e-30,6.612254878655835e-31
