k,Pen Digit BIC
2,62300.91403513633
3,59824.7634424472
4,55959.19101247068
5,55411.93275548389
6,53904.57124182438
7,53623.89538115182
8,52855.48667038188
9,52497.727597000165
10,51784.96790043765
15,50699.5514605522
20,50530.49218278519
25,50608.21232148651
30,50635.748249112476
35,50858.95687877045
40,51139.59299328258
