k,Cannabis Consumption log-likelihood
2,-3.640405834380785
3,-3.640493791619599
4,-3.6404950004509793
5,-3.634623946151814
6,-3.6301724086550524
7,-3.6289069799917786
8,-3.626529035787612
9,-3.624433297978821
10,-3.622155740291172
15,-3.5998633561463977
20,-3.5819760771948155
25,-3.5695176800152293
30,-3.542876431395037
35,-3.516009172439551
40,-3.476777625152804
