k,Cannabis Consumption BIC
2,6795.293091846461
3,6836.421236316328
4,6877.389243226073
5,6907.517052396832
6,6940.265289584826
7,6978.89508367944
8,7015.4711740855655
9,7052.568217497555
10,7089.329621413172
15,7253.0067573170045
20,7424.815717407469
25,7606.646393249038
30,7762.295525331249
35,7917.527442334507
40,8049.934883078257
