k,Cannabis Consumption sse (left)
2,2443.2207358164933
3,1810.5609754673972
4,1422.7225409469356
5,1171.5440911731048
6,999.4155123186677
7,884.2957303201305
8,773.5438283131598
9,699.2456715752278
10,625.1748743119774
15,414.8269536568033
20,310.7293797265927
25,251.9619579869492
30,210.8564049058666
35,182.11396723905938
40,156.33156924674608
