,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.8356929302215577,0.049288272857666016,0.5,0.5,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",137,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,0.49999999999999994,0.5,0.5,0.5,0.10082458118590953,0.006598986441503433,5.55412141369174e-17,0.0
1,2.151632881164551,0.0467648983001709,0.5,0.5,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",137,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,0.49999999999999994,0.5,0.5,0.5,0.09651438748145827,0.005326143130044256,5.55412141369174e-17,0.0
2,2.1340929508209228,0.04454808235168457,0.5,0.5,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",137,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,0.49999999999999994,0.5,0.5,0.5,0.12559639614356366,0.004049952740852979,5.55412141369174e-17,0.0
3,2.2167404651641847,0.05335817337036133,0.5,0.5,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",137,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,0.49999999999999994,0.5,0.5,0.5,0.273409790652723,0.0053084418897974455,5.55412141369174e-17,0.0
4,2.3640342712402345,0.04404892921447754,0.5178213820095388,0.5470491632542187,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",86,0.5087468460891506,0.5289531573498965,0.5000000000000001,0.5,0.5,0.5,0.49999999999999994,0.5,0.5805555555555556,0.7062926589211974,0.2692665329373451,0.011634255773968658,0.03148709304761264,0.08040749670359687
5,2.382811689376831,0.07553310394287109,0.5,0.5,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",137,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,0.49999999999999994,0.5,0.5,0.5,0.14180768277460584,0.025834371374691308,5.55412141369174e-17,0.0
6,3.230536603927612,0.06125035285949707,0.5262084283898094,0.5259147227574626,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",73,0.5,0.5,0.6307588075880759,0.6295736137873129,0.5,0.5,0.49999999999999994,0.5,0.5,0.5,0.2056614228632147,0.01723058611643628,0.052345975264056196,0.05182944551492516
7,2.922326993942261,0.07271904945373535,0.5,0.5,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",137,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,0.49999999999999994,0.5,0.5,0.5,0.3450165688126266,0.024573285293363847,5.55412141369174e-17,0.0
8,3.152210807800293,0.07681527137756347,0.51232093415192,0.5047200290990008,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",100,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,0.49999999999999994,0.5,0.5618055555555556,0.523600145495004,0.13919747350724263,0.02861952169422544,0.024692038430370367,0.009440058198001599
9,4.462735176086426,0.07092804908752441,0.5040044644524976,0.5093933451052985,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",123,0.496551724137931,0.5093167701863354,0.4930555555555556,0.5022390389355954,0.5180555555555556,0.502706635000107,0.49999999999999994,0.5,0.5125000000000001,0.5327042814044548,0.1395729752996924,0.01051503107197045,0.009600182762820405,0.012062642628624077
10,3.8038902759552,0.07522187232971192,0.5110379463528636,0.5079019455222344,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",104,0.5087468460891506,0.5205044427191167,0.5000000000000001,0.5,0.5,0.5,0.5465277777777776,0.5190052848920556,0.5,0.5,0.3195473118346403,0.012542218717983687,0.018031661346857852,0.009689471707662154
11,4.8453240394592285,0.07188076972961426,0.5,0.5,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",137,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,0.49999999999999994,0.5,0.5,0.5,0.8785127901488503,0.010935377113175495,5.55412141369174e-17,0.0
12,6.377602910995483,0.09061341285705567,0.5,0.5,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",137,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,0.49999999999999994,0.5,0.5,0.5,1.0076605953504743,0.01174279200195041,5.55412141369174e-17,0.0
