k,Pen Digit sse (left)
2,36946.64034432483
3,26766.576716532712
4,19033.70943110042
5,15521.041372535912
6,12418.365591047273
7,10302.22392708416
8,8793.408937589264
9,7742.389087299851
10,7077.933195299431
15,4932.0344716230775
20,3844.631559039999
25,3233.763232510115
30,2754.2483107431044
35,2497.488034253416
40,2269.5516738970746
