k,Pen Digit log-likelihood
2,-5.7695151305417
3,-5.531626150171688
4,-5.1647286426626415
5,-5.105938300705103
6,-4.958001881062074
7,-4.923963850740026
8,-4.844639576212092
9,-4.803444330225312
10,-4.729287095085255
15,-4.588619957725461
20,-4.533037050831632
25,-4.50036773878166
30,-4.463038797105377
35,-4.443878165738474
40,-4.430049705667222
