,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
14,1.0337286949157716,0.003693103790283203,0.5,0.5,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'ica__n_components': 40, 'NN__hidden_layer_sizes': (50, 50)}",95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5000000000000002,0.5,0.3214304486664693,0.0009069627891319473,9.915068111723903e-17,0.0
15,1.2193059921264648,0.0036809444427490234,0.5,0.5,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'ica__n_components': 45, 'NN__hidden_layer_sizes': (50, 50)}",95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5000000000000002,0.5,0.4190902148598559,0.0011816616001224375,9.915068111723903e-17,0.0
16,1.1346930027008058,0.0050853252410888675,0.5,0.5,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'ica__n_components': 50, 'NN__hidden_layer_sizes': (50, 50)}",95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5000000000000002,0.5,0.28194483782094215,0.002329741445970209,9.915068111723903e-17,0.0
17,1.2044622421264648,0.006385326385498047,0.5,0.5,0.1,"(50, 50)",55,"{'NN__alpha': 0.1, 'ica__n_components': 55, 'NN__hidden_layer_sizes': (50, 50)}",95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5000000000000002,0.5,0.30350523126366885,0.003898349120771075,9.915068111723903e-17,0.0
18,1.290994930267334,0.00489044189453125,0.5,0.5,0.1,"(50, 50)",60,"{'NN__alpha': 0.1, 'ica__n_components': 60, 'NN__hidden_layer_sizes': (50, 50)}",95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5000000000000002,0.5,0.3605514516257913,0.00099138044913048,9.915068111723903e-17,0.0
19,0.34507431983947756,0.006273889541625976,0.5870723131129735,0.5967582467749859,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'ica__n_components': 2, 'NN__hidden_layer_sizes': (50,)}",4,0.5,0.5,0.6696518245731503,0.6928482116588912,0.6518245731503182,0.661983041230614,0.5406762638098426,0.5418952002689866,0.5731561914494978,0.587064780716438,0.033128046754564065,0.0015831285970930493,0.06473826077801852,0.0720466940786124
20,0.2780141353607178,0.008974218368530273,0.5,0.5,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'ica__n_components': 3, 'NN__hidden_layer_sizes': (50,)}",95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5000000000000002,0.5,0.012800753487616817,0.0018006542602610636,9.915068111723903e-17,0.0
21,0.3625901699066162,0.006139373779296875,0.5,0.5,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'ica__n_components': 4, 'NN__hidden_layer_sizes': (50,)}",95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5000000000000002,0.5,0.022628756093844894,0.0015005938514583003,9.915068111723903e-17,0.0
22,0.4103504180908203,0.008166837692260741,0.5,0.49963592233009707,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'ica__n_components': 5, 'NN__hidden_layer_sizes': (50,)}",95,0.5,0.5,0.5,0.5,0.5,0.49878640776699035,0.5,0.5,0.5000000000000002,0.4993932038834951,0.03951007082376208,0.0017703384413225054,9.915068111723903e-17,0.0004854368932038666
23,0.5756827831268311,0.005644655227661133,0.5314290591062706,0.5242833664494193,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'ica__n_components': 6, 'NN__hidden_layer_sizes': (50,)}",9,0.5,0.5015577060479972,0.5172413793103449,0.5151515151515151,0.5148141948443253,0.5096089185895012,0.6147472380314697,0.5756393687218929,0.5102623062510648,0.5194593237361902,0.13154171219737543,0.0016443850673213412,0.042095356511570516,0.026366251634658378
24,0.44771862030029297,0.0053252696990966795,0.5,0.5,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'ica__n_components': 7, 'NN__hidden_layer_sizes': (50,)}",95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5000000000000002,0.5,0.24875668730786535,0.001957541724277711,9.915068111723903e-17,0.0
25,0.47057247161865234,0.007322931289672851,0.546999086318213,0.5361572224227062,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'ica__n_components': 8, 'NN__hidden_layer_sizes': (50,)}",6,0.6061265483762973,0.5448293615769344,0.5468697689989956,0.5246606144664396,0.5223468362905926,0.5367781490354305,0.518580515567459,0.5375661959399823,0.5410492250042584,0.5369517910947439,0.04179560416992013,0.001990629763787269,0.03146566120575174,0.006486602926274246
26,0.36713643074035646,0.007584142684936524,0.5,0.5,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'ica__n_components': 9, 'NN__hidden_layer_sizes': (50,)}",95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5000000000000002,0.5,0.034621865880150315,0.0022545226200244716,9.915068111723903e-17,0.0
27,0.5754380702972413,0.0063895702362060545,0.5084094508094591,0.5156532383474131,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'ica__n_components': 10, 'NN__hidden_layer_sizes': (50,)}",74,0.5,0.5,0.49757281553398064,0.5,0.5320555741546702,0.5361897406800319,0.512387010378306,0.5420764510570335,0.5000000000000002,0.5,0.06727246928405611,0.002231677114067073,0.012916614188254238,0.019261389930315384
28,1.0601045608520507,0.0061244010925292965,0.5154906304924433,0.5259218337181176,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'ica__n_components': 15, 'NN__hidden_layer_sizes': (50,)}",51,0.5086206896551725,0.5123802168705082,0.4964847673250753,0.521119657041987,0.5431034482758622,0.5439782709200185,0.5,0.5021645021645021,0.5292965423266908,0.5499665215935722,0.3207873037526734,0.0009943024338753945,0.017899391455076567,0.018303163823114667
29,0.9669600009918213,0.006408977508544922,0.5154906304924433,0.5259218337181176,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'ica__n_components': 20, 'NN__hidden_layer_sizes': (50,)}",51,0.5086206896551725,0.5123802168705082,0.4964847673250753,0.521119657041987,0.5431034482758622,0.5439782709200185,0.5,0.5021645021645021,0.5292965423266908,0.5499665215935722,0.295007185867275,0.0021418706344535857,0.017899391455076567,0.018303163823114667
