,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,25.23252191543579,0.8310313701629639,0.4058209647495362,0.39921080508474577,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'filter__n': 2, 'NN__hidden_layer_sizes': (50, 50)}",364,0.4233333333333334,0.4149364406779661,0.4158333333333334,0.40579978813559314,0.24375,0.24375,0.5295833333333334,0.46750529661016954,0.4169642857142856,0.4640625,10.030621616786487,0.5302838370561982,0.0920702661595311,0.08164392461922665
1,33.83532299995422,0.8132750034332276,0.6522398732220162,0.6535165960451976,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'filter__n': 3, 'NN__hidden_layer_sizes': (50, 50)}",328,0.58875,0.6202330508474577,0.6437500000000002,0.6313559322033898,0.6179166666666667,0.6636917372881355,0.7641666666666669,0.664698093220339,0.6464285714285714,0.6876041666666667,7.907908744940251,0.30981410772532164,0.05992873553785773,0.024451630833564754
2,26.083929920196532,0.888167142868042,0.6789853896103895,0.6968319209039547,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'filter__n': 4, 'NN__hidden_layer_sizes': (50, 50)}",316,0.6649999999999999,0.7234110169491526,0.6395833333333334,0.6973781779661016,0.6504166666666666,0.7020921610169492,0.75875,0.6735699152542374,0.6812499999999999,0.6877083333333334,2.1818471544203355,0.2923389063821834,0.04240197839424184,0.016485009107734396
3,32.59751477241516,0.6546499729156494,0.7513532003710575,0.7693700564971752,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'filter__n': 5, 'NN__hidden_layer_sizes': (50, 50)}",279,0.7416666666666666,0.8,0.8120833333333334,0.7907309322033897,0.7099999999999999,0.8029925847457627,0.8,0.7329184322033899,0.6910714285714286,0.7202083333333333,5.732497694673891,0.31803796229027537,0.047852087105593785,0.03541341777869839
4,28.301423120498658,0.9500418663024902,0.7891299474335189,0.7994247881355931,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'filter__n': 6, 'NN__hidden_layer_sizes': (50, 50)}",207,0.7729166666666666,0.7999735169491526,0.7987500000000001,0.7857521186440678,0.7341666666666666,0.824602754237288,0.8237500000000001,0.7467955508474577,0.8169642857142857,0.84,5.839827191357852,0.5323281345247851,0.03273915231191883,0.032364664085158604
5,19.473002099990843,0.2711013317108154,0.7704564780457638,0.7846709039548023,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'filter__n': 7, 'NN__hidden_layer_sizes': (50, 50)}",270,0.7595833333333333,0.816657838983051,0.8045833333333333,0.7660752118644067,0.7066666666666667,0.8106461864406779,0.8437500000000001,0.7578919491525424,0.7366071428571428,0.7720833333333332,3.833494272464066,0.1372577019752347,0.04880491980902955,0.024162940348786965
6,2.8773916721343995,0.14215598106384278,0.8243564471243042,0.8335063559322033,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'filter__n': 8, 'NN__hidden_layer_sizes': (50, 50)}",144,0.825,0.8626588983050848,0.8766666666666668,0.8398569915254237,0.7733333333333334,0.8823358050847455,0.80625,0.7920550847457628,0.8410714285714285,0.790625,2.5205829547385217,0.013596155562254193,0.03457430703389138,0.03696359012146242
7,1.2068046092987061,0.13759112358093262,0.7992911255411255,0.8195077683615821,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'filter__n': 9, 'NN__hidden_layer_sizes': (50, 50)}",196,0.7599999999999999,0.7999735169491526,0.8016666666666667,0.7725105932203389,0.7658333333333333,0.8275953389830508,0.8508333333333334,0.8616260593220341,0.8187499999999999,0.8358333333333334,0.22818482503879237,0.005788154819094916,0.03384923182048682,0.030647038203174215
8,1.5832984447479248,0.14440579414367677,0.8523160173160175,0.8856027542372882,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'filter__n': 10, 'NN__hidden_layer_sizes': (50, 50)}",93,0.8195833333333333,0.8578389830508476,0.8516666666666668,0.8688029661016948,0.7929166666666667,0.8994173728813558,0.905,0.9032044491525425,0.89375,0.8987499999999998,0.20777090826984215,0.00846888659163832,0.04265164215998516,0.0185826440272083
9,1.6580351829528808,0.13541889190673828,0.8941755565862709,0.9176631355932203,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'filter__n': 15, 'NN__hidden_layer_sizes': (50, 50)}",43,0.9175,0.9635328389830511,0.93,0.9266684322033897,0.7991666666666666,0.8556408898305085,0.9295833333333333,0.9405985169491528,0.8946428571428571,0.9018749999999999,0.2862367100651897,0.010526817379179059,0.04936933285250142,0.03689764482730674
10,1.5802178382873535,0.14424386024475097,0.8770439084724799,0.9104703389830509,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'filter__n': 20, 'NN__hidden_layer_sizes': (50, 50)}",67,0.8729166666666666,0.9245762711864408,0.8712500000000001,0.8969544491525423,0.8775,0.9192266949152543,0.8841666666666668,0.9159692796610169,0.8794642857142856,0.8956249999999999,0.09207532320916877,0.00900220330788441,0.004645657172158271,0.011907584209653913
