k,Cannabis Consumption sse (left)
2,0.8773314544806504
3,0.5900677376028427
4,0.45614496040918723
5,0.37790924427238004
6,0.3081179128992093
7,0.2734470137352891
8,0.24554387291722718
9,0.22294069037773828
10,0.20016878169027194
15,0.1349456808640948
20,0.10269068250587214
25,0.08213732906888649
30,0.06722698334931457
35,0.05629590338688131
40,0.04855392074752479
