k,Pen Digit log-likelihood
2,25.274097910912833
3,26.062640952145752
4,27.05895838701721
5,27.62893874421906
6,27.809307222710643
7,27.972120582795508
8,28.23071886007263
9,28.69729787621889
10,29.115172691645594
15,29.730675922978488
20,30.026371676716213
25,30.303353796295408
30,30.48070498643197
35,30.70397945374235
40,30.893150010917374
