,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.7930698394775391,0.015581035614013672,0.5,0.5,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'km__n_clusters': 2, 'NN__hidden_layer_sizes': (50, 50)}",11,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5,0.021584868221136748,0.0043131232560660315,8.244574950155458e-17,7.021666937153402e-17
1,0.8589601993560791,0.0130126953125,0.5,0.5,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'km__n_clusters': 3, 'NN__hidden_layer_sizes': (50, 50)}",11,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5,0.14163525675561955,0.005326332937596608,8.244574950155458e-17,7.021666937153402e-17
2,1.2725475788116456,0.018952131271362305,0.5,0.5,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'km__n_clusters': 4, 'NN__hidden_layer_sizes': (50, 50)}",11,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5,0.2040001973043343,0.0040754409026400405,8.244574950155458e-17,7.021666937153402e-17
3,1.3521350383758546,0.02323298454284668,0.5,0.5,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'km__n_clusters': 5, 'NN__hidden_layer_sizes': (50, 50)}",11,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5,0.11979691532249287,0.006802285260890187,8.244574950155458e-17,7.021666937153402e-17
4,1.5100119590759278,0.017787885665893555,0.5,0.5,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'km__n_clusters': 6, 'NN__hidden_layer_sizes': (50, 50)}",11,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5,0.17294136602321963,0.0064446569355112,8.244574950155458e-17,7.021666937153402e-17
5,1.4935190200805664,0.019648265838623048,0.5,0.5,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'km__n_clusters': 7, 'NN__hidden_layer_sizes': (50, 50)}",11,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5,0.12200843342023872,0.004525691978244033,8.244574950155458e-17,7.021666937153402e-17
6,1.941169309616089,0.023068046569824217,0.5,0.5,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'km__n_clusters': 8, 'NN__hidden_layer_sizes': (50, 50)}",11,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5,0.17439054649090163,0.009133043450205098,8.244574950155458e-17,7.021666937153402e-17
7,1.8793550491333009,0.02728614807128906,0.5,0.5,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'km__n_clusters': 9, 'NN__hidden_layer_sizes': (50, 50)}",11,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5,0.09780157337376204,0.0033192019901467007,8.244574950155458e-17,7.021666937153402e-17
8,1.829627799987793,0.024949312210083008,0.5,0.5,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'km__n_clusters': 10, 'NN__hidden_layer_sizes': (50, 50)}",11,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5,0.14680235086954102,0.005215985632204385,8.244574950155458e-17,7.021666937153402e-17
9,2.2935829639434813,0.024848031997680663,0.5,0.5,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'km__n_clusters': 15, 'NN__hidden_layer_sizes': (50, 50)}",11,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5,0.1021431203457649,0.0056929582314970625,8.244574950155458e-17,7.021666937153402e-17
