,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,7.326096296310425,0.035698556900024415,0.1995772335140861,0.2006519276694095,0.1,"(50, 50)",2,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 2}",300,0.19808482446756784,0.20290178571428572,0.19835164835164837,0.19468649669022345,0.19246705963938973,0.19355158952591162,0.19902912621359223,0.1997772828507795,0.20997746185852983,0.21234248356584715,2.063976138248426,0.010309874947149878,0.005698534623303005,0.00676013506474578
1,7.970655822753907,0.0368706226348877,0.28850059925483157,0.2858334944191655,0.1,"(50, 50)",3,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 3}",277,0.30028262666537003,0.3006940522910336,0.3009615384615385,0.2975981083196559,0.2941747572815534,0.2961769294672887,0.3007801664355062,0.29479361499558987,0.24614141707588313,0.23990476702225969,2.2936756624609087,0.010357567515583456,0.02129305182989149,0.023047606080150038
2,11.345196342468261,0.0388676643371582,0.3866930529899197,0.38877864182167204,0.1,"(50, 50)",4,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 4}",255,0.39008861713507736,0.39490211850864787,0.39609450016003417,0.39836023986537805,0.3682732316227462,0.36598343053911175,0.38252427184466026,0.38570103975237024,0.3964366151866152,0.3989463804428521,1.51210173467369,0.009202053936677551,0.010495842057144157,0.012343258794899004
3,11.576125335693359,0.0410799503326416,0.46450150062684176,0.46985904600367334,0.1,"(50, 50)",5,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 5}",235,0.4747726830691433,0.48470156743058207,0.48859890109890114,0.49061832927010346,0.4093273231622746,0.43617684284141095,0.48385055478502076,0.477745023436186,0.4658027045769765,0.4600534670400842,2.1272370765752675,0.009168412972599035,0.028641458936974163,0.01971840314419669
4,12.848773097991943,0.04705514907836914,0.5741778578287892,0.5679613116132898,0.1,"(50, 50)",6,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 6}",206,0.5870666391130994,0.579547288077481,0.5869198762402645,0.5913884283456725,0.5618758668515951,0.5502158892055973,0.5565533980582524,0.5533813269484209,0.5783460471567268,0.5652736254892772,3.5905897998799907,0.010109757782988216,0.012712045815603054,0.015606180025732991
5,14.337627840042114,0.04657440185546875,0.6204426308146255,0.6185958409132211,0.1,"(50, 50)",7,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 7}",184,0.6215896382378684,0.6139040118166601,0.6190573989117678,0.621931448281476,0.5966019417475729,0.5985185598554185,0.5886615811373093,0.5883376322105461,0.6763522884882108,0.6702875524020048,2.077342312580114,0.008942761714754338,0.03064607386104991,0.028368394321832097
6,16.160161018371582,0.05734286308288574,0.7048028823942224,0.700137110079357,0.1,"(50, 50)",8,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 8}",165,0.7050240688515025,0.695393058067178,0.6871359223300971,0.6877156224216311,0.6960124826629682,0.6807043843855279,0.7045076282940361,0.7008660453135391,0.7314233703190015,0.7360064402089084,5.125957180432727,0.025037251665207635,0.014809735375006761,0.019191510641610655
7,16.5271436214447,0.049138116836547854,0.7402544713810492,0.7435843774907691,0.1,"(50, 50)",9,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 9}",152,0.7437998395409899,0.7440689821915227,0.7124933319108075,0.7071544917541598,0.6909674063800277,0.7075285193362543,0.7416868932038836,0.7461381823295413,0.8124722763679075,0.8130317118423672,3.4655406130834847,0.0077083078257672525,0.041017985050019495,0.038618261202322646
8,14.102860498428345,0.05018930435180664,0.7721974448695239,0.7741869520404904,0.1,"(50, 50)",10,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 10}",137,0.8100852134591073,0.8069694007895005,0.7373146271204523,0.745884750683219,0.7614251040221913,0.7839092459144743,0.7440187239944521,0.7460256184934954,0.8080600017493222,0.7881457443217625,2.130396055169254,0.008078834811589771,0.03115173174413546,0.024323384365330106
9,17.604849529266357,0.06996049880981445,0.8717550530543462,0.8707991311728662,0.1,"(50, 50)",15,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 15}",105,0.8759664008557815,0.8806957166408368,0.8791588872292755,0.880225654279053,0.8586685159500693,0.8619188907092649,0.8724081137309292,0.8775475176985171,0.8725190863540379,0.8536078765366594,1.9547461898318748,0.01476500187524604,0.006995478353943504,0.011015810175871697
10,19.379092025756837,0.08245973587036133,0.8840098026328986,0.884067820898197,0.1,"(50, 50)",20,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 20}",83,0.8807503889915395,0.8905298444418657,0.8788621572602154,0.8842108414317138,0.8986997226074896,0.885128659370989,0.8666608876560333,0.8695823004856656,0.8951265759518187,0.890887458760751,4.0189453549955525,0.01938720001796871,0.011629943276822523,0.007736166280730194
