k,Pen Digit sse (left)
2,4.99193067285343
3,4.479051808141772
4,4.037819865976643
5,3.703382900698117
6,3.3968748868940377
7,3.152297580093961
8,2.8593946520413542
9,2.6704256062068663
10,2.49063592752391
15,1.9461773675723606
20,1.6270881670295427
25,1.4468888456040454
30,1.3021404080415524
35,1.1940463974225906
40,1.0979747464437695
