k,Cannabis Consumption log-likelihood
2,4.407051937893394
3,4.404444309468235
4,4.407605458038885
5,4.410061353939347
6,4.4166777648923246
7,4.416734531342904
8,4.422874811770989
9,4.425886926285941
10,4.435651432104227
15,4.443131612889796
20,4.457796868957395
25,4.476162052204331
30,4.49488422111664
35,4.517166429672996
40,4.53152624164809
