k,Cannabis Consumption BIC
2,-8060.313955771674
3,-8014.534498291813
4,-7979.404203146217
5,-7942.972011571452
6,-7914.220130783631
7,-7873.359146244383
8,-7843.728328507612
9,-7808.322916495195
10,-7785.382418828734
15,-7594.361955523809
20,-7416.605141189512
25,-7245.67839242827
30,-7075.410639205308
35,-6911.714719165255
40,-6733.394055036194
