k,Pen Digit BIC
2,-271437.40234005766
3,-279543.3991276047
4,-289887.1261346387
5,-295639.202815171
6,-297195.1595619938
7,-298562.0476835762
8,-300960.5393633193
9,-305598.98360068287
10,-309712.88359629695
15,-314408.79456509434
20,-315660.37900019175
25,-316710.4175954018
30,-316687.4310805148
35,-317159.0382607897
40,-317263.34632890683
