,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,18.617184782028197,0.09403190612792969,0.5970949742131488,0.5965507096407665,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'pca__n_components': 2, 'NN__hidden_layer_sizes': (50, 50)}",164,0.6147472380314698,0.5914974992644895,0.5692166052895882,0.5718541167570295,0.6109809173083361,0.6200615727314757,0.6061265483762973,0.6243905770604798,0.5843553057400787,0.5749497823903582,1.7486499032977294,0.021777480384094227,0.017470175097758583,0.022044843362866898
1,18.67946982383728,0.09090952873229981,0.5491668090154633,0.5285115370066826,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'pca__n_components': 3, 'NN__hidden_layer_sizes': (50, 50)}",213,0.6368429862738534,0.5586858529819694,0.6026113157013726,0.5812003530450132,0.5061935051891531,0.49913052158197785,0.5,0.5035409574244525,0.5000000000000002,0.5,1.2038422850982238,0.024817912490382274,0.05870055841865786,0.03460139400267031
2,16.371475982666016,0.16839828491210937,0.5195159565598007,0.5121537847266002,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'pca__n_components': 4, 'NN__hidden_layer_sizes': (50, 50)}",217,0.5258620689655173,0.5096089185895011,0.5716437897556076,0.5508158912285126,0.5,0.49939320388349506,0.5,0.502164502164502,0.5000000000000002,0.4987864077669903,1.6688573389080061,0.106944464748097,0.027934619966144093,0.01971060516148675
3,31.290714740753174,0.09663887023925781,0.6252162188827947,0.6303749509055837,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'pca__n_components': 5, 'NN__hidden_layer_sizes': (50, 50)}",117,0.70873786407767,0.6828137477409323,0.679360562437228,0.7152812802084647,0.5382490793438232,0.5499464128104904,0.6667224640107131,0.7001297650569496,0.5326605348322264,0.5037035487110815,11.565848554751337,0.03746427877087426,0.07449651560489294,0.0864164800724434
4,24.81425995826721,0.11984710693359375,0.6549008890575716,0.674536863928394,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'pca__n_components': 6, 'NN__hidden_layer_sizes': (50, 50)}",61,0.6901573485102109,0.6882749127894758,0.6621191831268831,0.6694011894254612,0.6713257448945432,0.6786659941999748,0.6370940743220623,0.6770268566385071,0.6136518480667691,0.6593153665885504,2.140802516984268,0.03287099621303693,0.026757169243447235,0.0096959053303187
5,24.25973343849182,0.0855222225189209,0.5978333889748251,0.6214461983168043,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'pca__n_components': 7, 'NN__hidden_layer_sizes': (50, 50)}",156,0.5641111483093405,0.5523735972765099,0.7017073987278206,0.7235951750514857,0.5,0.5108225108225108,0.6136591898225645,0.6569395410414828,0.6097342871742465,0.6635001673920322,8.671870488658886,0.006927581402295835,0.06619141655980429,0.07806580761127241
6,36.764117336273195,0.16785683631896972,0.6795849763670718,0.6862497771729442,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'pca__n_components': 8, 'NN__hidden_layer_sizes': (50, 50)}",25,0.696350853699364,0.6845527045769764,0.666973552058922,0.7024755180094986,0.6861399397388684,0.6818628378094398,0.6384332105791765,0.6780591980834699,0.7101430761369446,0.6842986273853365,7.229799690768551,0.17289078179594985,0.02493669520163,0.008441475337696519
7,29.75134735107422,0.1320570468902588,0.6447157374795812,0.6688672015965287,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'pca__n_components': 9, 'NN__hidden_layer_sizes': (50, 50)}",95,0.6664713759625042,0.6624007060900265,0.710077000334784,0.7189220569074939,0.6134081017743556,0.6256041692934897,0.6198526950117174,0.6593667255075022,0.6136518480667691,0.6780423501841312,5.061889466518809,0.026301706635618354,0.038237651083158304,0.030309854720581602
8,36.85484290122986,0.11751213073730468,0.6469916294543735,0.6782768983053551,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'pca__n_components': 10, 'NN__hidden_layer_sizes': (50, 50)}",88,0.6853029795781721,0.722562833606523,0.6941747572815534,0.7041146555709662,0.615835286240375,0.5966959820115161,0.5864579845999331,0.6237023494305047,0.6532106966445241,0.7443086709072649,12.026678268017807,0.03246450184441531,0.04092412773672015,0.05765909476778489
9,24.386286783218384,0.08158226013183593,0.6147467727010797,0.6356989414446729,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'pca__n_components': 11, 'NN__hidden_layer_sizes': (50, 50)}",140,0.6925845329762303,0.6820440885974866,0.6214429193170405,0.633130017231959,0.5913123535319719,0.5785104862774765,0.5236859725477067,0.6129612701214643,0.6448220064724922,0.6718488449949782,2.1115423389352674,0.032199283100004215,0.05631678909415541,0.038075736800581274
10,25.768891954421996,0.1127814769744873,0.6197304634052582,0.6505529915347459,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'pca__n_components': 12, 'NN__hidden_layer_sizes': (50, 50)}",130,0.6963508536993639,0.6971956037490018,0.6645463675929026,0.6913088933720002,0.5492969534650151,0.5629334257975035,0.6088048208905257,0.6730419661244905,0.5795009368080398,0.6282850686307332,6.221020337842436,0.03005010160104314,0.054005056129968025,0.05003074949923804
