k,Cannabis Consumption BIC
2,20151.0147039637
3,20238.80096971127
4,20342.863873106788
5,20340.298474298692
6,20235.769292092977
7,20457.97356042325
8,20592.13945142419
9,20775.235097983947
10,21049.825609384447
15,21823.729190256217
20,22802.96965030805
25,23664.251074408927
30,24648.57581120105
35,25540.51641653377
40,26210.160522438582
