k,Cannabis Consumption log-likelihood
2,-10.653441510462622
3,-10.567846501418993
4,-10.491068739205243
5,-10.356529166480325
6,-10.166754608166231
7,-10.153975418506517
8,-10.093504800174362
9,-10.059540008255432
10,-10.075139065112635
15,-9.828622444669112
20,-9.693339236565818
25,-9.49415622567219
30,-9.36162723032095
35,-9.179052659964613
40,-8.876057450698255
