k,Pen Digit log-likelihood
2,-10.1467071767996
3,-9.745360568894851
4,-9.48429491342503
5,-9.152368525980838
6,-8.957032458848055
7,-8.86905196553963
8,-8.684417995080178
9,-8.450432268446251
10,-8.36215150248546
15,-7.9909436306394115
20,-7.550498522043051
25,-7.387703635198263
30,-7.240787379890937
35,-7.100035447836824
40,-7.027534805827625
