,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,45.712397241592406,0.06727938652038574,0.402707932238899,0.41396592321023346,0.1,"(50, 50)",2,"{'km__n_clusters': 2, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",285,0.41242402508995435,0.4312022124762417,0.3803211351755041,0.4211234236462105,0.38926837725381414,0.3823133673329984,0.4165308599167823,0.423133007046764,0.4150267552573378,0.4120576055489528,8.957485696637534,0.012692315803453055,0.014961787993511767,0.01695807109359047
1,56.65250973701477,0.0627901554107666,0.6005896663700995,0.5982574369037585,0.1,"(50, 50)",3,"{'km__n_clusters': 3, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",262,0.5887423417290674,0.595469063626861,0.6074435879654326,0.6121209911899385,0.5932819001386962,0.5921114220328522,0.5986477115117892,0.5906272932715824,0.6148977427496846,0.6009584143975587,12.13211725767693,0.005981245502457253,0.009479382433482814,0.007787952658307954
2,85.79706864356994,0.07441906929016114,0.6809529183459905,0.6941594732132353,0.1,"(50, 50)",4,"{'km__n_clusters': 4, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",214,0.681341169892055,0.7078950191081398,0.6747759522031367,0.690063692747565,0.6856882801664356,0.6904745443742659,0.6908200416088767,0.7110342712702531,0.6721514163261737,0.6713298385659529,9.31839168579578,0.020704554969961122,0.006858413680784239,0.014317614094504666
3,78.02958283424377,0.06827893257141113,0.6976796618714332,0.7066488417062514,0.1,"(50, 50)",5,"{'km__n_clusters': 5, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",203,0.6918573130409413,0.7162906318648349,0.7011869198762403,0.7018967404369344,0.6953623439667129,0.7155199607603927,0.7045596393897365,0.7090425163697938,0.6954548862315854,0.6904943590993011,9.391464178412384,0.005585492372075161,0.004559009721826731,0.0096014615960477
4,78.87554287910461,0.06628937721252441,0.7227193643242169,0.7326929484121502,0.1,"(50, 50)",6,"{'km__n_clusters': 6, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",175,0.6980149275503258,0.7206239861915369,0.760124826629681,0.7764279399692767,0.7155166435506242,0.718679094991186,0.7278259361997226,0.732079048987608,0.7121263166772875,0.7156546719211434,22.217603576449047,0.012496105622617106,0.02099819534476473,0.0225631432277342
5,107.92999935150146,0.06815528869628906,0.7812967738614333,0.792314636548023,0.1,"(50, 50)",7,"{'km__n_clusters': 7, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",107,0.7420901001653215,0.7488983040329408,0.8101621679291582,0.8139667192548218,0.786494452149792,0.8052214316284687,0.7750346740638003,0.7806078344696973,0.7928611256887956,0.8128788933541865,28.792881642889817,0.011133506075368126,0.022709144926884868,0.024820611784328733
6,90.94363102912902,0.07118611335754395,0.7628472105815026,0.7800256638442088,0.1,"(50, 50)",8,"{'km__n_clusters': 8, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",124,0.7754983954098998,0.7942815434190591,0.7232056171983355,0.7230061509716471,0.7584171289875175,0.7805944806299628,0.7927444521497921,0.8071579139394707,0.7644370618885182,0.7950882302609044,21.11567835996928,0.008263299653306591,0.023019403117012477,0.029724799092682934
7,92.56492819786072,0.07498292922973633,0.7952095596776784,0.802759663950009,0.1,"(50, 50)",9,"{'km__n_clusters': 9, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",90,0.7591121268112418,0.7677972716561767,0.8127220473701056,0.8067611749776714,0.8024531900138697,0.8239064735723814,0.8128207350901526,0.8201976672864512,0.7891039097349778,0.7951357322573634,15.77489714037053,0.009336409487483885,0.02007713194343957,0.02023747423683639
8,84.2613347530365,0.05542359352111816,0.7990500902662152,0.8090201273394968,0.1,"(50, 50)",10,"{'km__n_clusters': 10, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",82,0.8224022658757172,0.824042752592791,0.832639629787688,0.8480653045404964,0.7575676144244106,0.7792589903110343,0.7996185852981971,0.8009760760012036,0.7827301295747898,0.7927575132519583,19.620466026339184,0.01783058861945106,0.027061892800987357,0.024352042166022134
9,64.22885870933533,0.0593533992767334,0.8069270949632368,0.8125129720492972,0.1,"(50, 50)",15,"{'km__n_clusters': 15, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",61,0.8093133083730429,0.8157642885528442,0.8226841726234929,0.8293139054216259,0.8142943828016643,0.8225183651894024,0.8140256588072122,0.8156264431166185,0.7742133517012159,0.7793418579659944,10.222537221411805,0.013922261025936746,0.0168887368172495,0.017337628584614805
