,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,2.0289094924926756,0.036498498916625974,0.5283796797881306,0.5293140338489848,0.1,"(50, 50)",2,"{'km__n_clusters': 2, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",197,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5520833333333334,0.5323244966514753,0.5520833333333334,0.5649217964353724,0.5381944444444443,0.5493238761580761,0.5225927241196895,0.007858290447180828,0.02381073829394469,0.02606144505942549
1,2.0719841003417967,0.024338197708129884,0.5458415487389268,0.5544332897001153,0.1,"(50, 50)",3,"{'km__n_clusters': 3, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",137,0.5665264928511354,0.5737038474810213,0.5471714092140922,0.5920158885647546,0.6152777777777778,0.6064467124548004,0.5,0.5,0.49999999999999994,0.5,0.33981146831306397,0.0045867209632648965,0.04342312267829341,0.04564026366360865
2,2.2062870502471923,0.026535415649414064,0.5109540799894866,0.5097476949364602,0.1,"(50, 50)",4,"{'km__n_clusters': 4, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",245,0.5612279226240539,0.5349324965493444,0.5000000000000001,0.5000000000000001,0.5,0.5,0.5,0.5,0.4930555555555554,0.5138059781329569,0.35217327229661893,0.0061335738105528816,0.025398420986602513,0.013680618147628963
3,2.5450050830841064,0.035459280014038086,0.5484733304761972,0.5547438352090335,0.1,"(50, 50)",5,"{'km__n_clusters': 5, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",133,0.5646761984861228,0.5611466959972395,0.5000000000000001,0.5000000000000001,0.5,0.5,0.5951388888888889,0.612892355093395,0.5826388888888887,0.5996801249545329,0.3699417844516666,0.006281649976235164,0.04073178985657958,0.04782319962924737
4,3.3055463790893556,0.029968929290771485,0.5666591523832636,0.5737820078127814,0.1,"(50, 50)",6,"{'km__n_clusters': 6, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",104,0.5736753574432296,0.612108566252588,0.5837567750677507,0.6079044533192677,0.5,0.5,0.5986111111111111,0.573148683056251,0.5770833333333333,0.5757483364358004,0.5428678723323506,0.010632767387327184,0.03434379869939161,0.04020278247725973
5,2.7933218002319338,0.03031291961669922,0.5318926537884948,0.5438587923343218,0.1,"(50, 50)",7,"{'km__n_clusters': 7, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",177,0.5699747687132044,0.5727010006901313,0.5348915989159893,0.5539522266596338,0.5236111111111111,0.5315649271455165,0.5,0.5123456790123457,0.5305555555555556,0.5487301281639815,0.4617016436721771,0.005002664043424914,0.022601936632536634,0.02050217424864429
6,3.4630240917205812,0.030978059768676756,0.5901862534895382,0.5914641468458297,0.1,"(50, 50)",8,"{'km__n_clusters': 8, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",51,0.6555929352396972,0.6513813405797101,0.5365853658536586,0.5439841975521277,0.6381944444444444,0.6115390375933415,0.5,0.5145655476389157,0.6201388888888888,0.6358506108650536,0.5172911291271988,0.008478594006640826,0.06080858939740794,0.05316195947576773
7,3.730721282958984,0.034302902221679685,0.6107375964903595,0.6169000857364662,0.1,"(50, 50)",9,"{'km__n_clusters': 9, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",23,0.630950378469302,0.6149445738440303,0.587228997289973,0.6451715340646093,0.6666666666666666,0.6132721398463744,0.5611111111111111,0.5889605665746626,0.6076388888888888,0.6221516143526543,0.40846420073084305,0.005351084844428582,0.036187718181702404,0.01802473906891964
8,3.172853374481201,0.027762746810913085,0.5938861759003701,0.5878886634799434,0.1,"(50, 50)",10,"{'km__n_clusters': 10, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",41,0.5978132884777124,0.5744371118012424,0.5558096205962061,0.56774707471716,0.6145833333333334,0.5720681686886194,0.6131944444444445,0.6384502642446028,0.5881944444444444,0.5867406979480926,0.33479966055756644,0.007931562105633894,0.021444686057590274,0.026056512401483368
9,3.9303423404693603,0.03162307739257812,0.6271795186920189,0.6387672994596298,0.1,"(50, 50)",15,"{'km__n_clusters': 15, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",12,0.6468460891505466,0.6201906487232574,0.5959518970189702,0.6411993928759809,0.6840277777777778,0.6524113657273681,0.6222222222222223,0.640884096112288,0.5868055555555555,0.639150993859255,0.8815423206881434,0.00837225923411706,0.03531984974235176,0.010409568912750128
10,3.621840763092041,0.03431234359741211,0.5916864417294564,0.6068376139935682,0.1,"(50, 50)",20,"{'km__n_clusters': 20, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",46,0.6815811606391926,0.664768806073154,0.6028963414634148,0.636215378322228,0.5666666666666667,0.5677354130560371,0.58125,0.6455966364978497,0.5249999999999999,0.5198718360185721,0.47662022296527007,0.005310457860491958,0.051833248426545186,0.05443044467052407
