k,Cannabis Consumption sse (left)
2,11504.346482265746
3,9557.48549312506
4,8579.000018717417
5,7950.779185389713
6,7369.410912975745
7,6847.689367284308
8,6412.741646377807
9,6108.558898272726
10,5832.063338097744
15,4954.754050519128
20,4375.175749417006
25,3980.5325361767045
30,3695.039026892594
35,3419.637339793345
40,3257.2336957883213
