k,Pen Digit sse (left)
2,59470.049834281985
3,48906.83173782478
4,42117.293755221006
5,38582.436112320975
6,35496.361799339866
7,32558.69062946216
8,30198.49819519445
9,28133.20687020233
10,26353.286719827895
15,20820.55296886411
20,17919.315292261806
25,15717.29254925043
30,14216.75429673665
35,13101.26385009108
40,12337.785047385398
