k,Pen Digit BIC
2,109890.02374799261
3,105876.81019408374
4,103374.42249789901
5,100108.86471835032
6,98314.3846885555
7,97676.12418884903
8,95996.905740226
9,93786.16887760385
10,93144.67444143139
15,90693.21272777574
20,87496.06597431922
25,87289.21210912714
30,87253.37110559353
35,87283.91986349702
40,88049.53501518423
